Player,Season,Passing Yds,Passing Tds,Rushing Yds,Rushing Tds,Receiving Yds,Receiving Tds,VBD
Ron Johnson,1970,0,0,1027,8,48,5,135
Gene Washington,1970,0,0,0,0,44,1,33
MacArthur Lane,1970,0,0,977,11,32,2,126
Warren Wells,1970,0,0,34,0,43,0,112
John Brodie,1970,2941,24,29,2,0,1,105
Marlin Briscoe,1970,0,0,19,0,57,3,98
Larry Brown,1970,0,0,1125,5,37,6,94
Fran Tarkenton,1970,2777,19,236,2,0,3,92
John Gilliam,1970,0,0,68,1,45,3,80
Ken Willard,1970,0,0,789,7,31,3,70
John Hadl,1970,2388,22,188,1,0,3,68
Bo Scott,1970,0,0,625,7,40,4,68
Sonny Jurgensen,1970,2354,23,39,1,0,4,65
Eddie Hinton,1970,0,0,58,2,47,0,64
Roy Jefferson,1970,0,0,47,0,44,1,64
Fred Biletnikoff,1970,0,0,0,0,45,0,62
Jerry Smith,1970,0,0,29,0,43,0,62
Mel Farr,1970,0,0,717,9,29,5,61
Jim Mitchell,1970,0,0,23,1,44,0,56
Donny Anderson,1970,0,0,853,5,36,8,55
Jim Kiick,1970,25,0,658,6,42,4,55
Willie Frazier,1970,0,0,120,1,38,1,55
Daryle Lamonica,1970,2516,22,24,0,0,0,52
John Fuqua,1970,0,0,691,7,23,7,51
Paul Warfield,1970,0,0,13,0,28,0,49
Clifton McNeil,1970,0,0,7,0,50,0,48
Leroy Kelly,1970,0,0,656,6,24,3,47
Roman Gabriel,1970,2552,16,104,1,0,6,42
Jackie Smith,1970,0,0,43,0,37,0,42
Raymond Chester,1970,0,0,0,0,42,1,41
Larry Csonka,1970,0,0,874,6,11,3,34
Charlie Sanders,1970,0,0,0,0,40,0,34
Carroll Dale,1970,0,0,9,0,49,2,32
Ron Shanklin,1970,0,0,0,0,30,1,31
Harold Jackson,1970,0,0,-5,0,41,0,30
Bob Tucker,1970,0,0,0,0,40,0,30
Ed Podolak,1970,40,0,749,3,26,6,28
Paul Robinson,1970,0,0,622,6,17,0,24
Lance Alworth,1970,0,0,0,0,35,0,23
Larry Walton,1970,0,0,20,0,30,0,23
Dave Osborn,1970,0,0,681,5,23,5,22
Jack Concannon,1970,2130,16,136,2,0,6,20
Floyd Little,1970,0,0,901,3,17,6,20
Jerry LeVias,1970,0,0,37,0,41,2,20
Gary Ballman,1970,0,0,0,0,47,1,19
Norm Snead,1970,2323,15,35,3,0,3,18
Otis Taylor,1970,0,0,13,0,34,1,18
Ron Sellers,1970,0,0,0,0,38,0,16
Hewritt Dixon,1970,0,0,861,1,31,6,14
Al Denson,1970,0,0,0,0,47,0,14
Duane Thomas,1970,0,0,803,5,10,6,13
Charlie Smith,1970,0,0,681,3,23,4,13
Altie Taylor,1970,0,0,666,2,27,6,12
Alvin Reed,1970,0,0,0,0,47,1,12
Jim Whalen,1970,0,0,0,0,36,1,8
Craig Morton,1970,1819,15,37,0,0,1,7
Milt Morin,1970,0,0,2,0,37,1,7
Jim Hart,1970,2575,14,18,0,0,6,4
George Blanda,1970,461,6,4,0,0,1,3
Jim Nance,1970,0,0,522,7,26,6,3
Virgil Carter,1970,1647,9,246,2,0,5,0
Bill Nelsen,1970,2156,16,-4,0,0,6,0
Bob Griese,1970,2019,12,89,2,0,5,0
Dennis Shaw,1970,2507,10,210,0,0,10,0
Bob Berry,1970,1806,16,60,0,0,6,0
Johnny Unitas,1970,2213,14,16,0,0,2,0
Greg Landry,1970,1072,9,350,1,0,3,0
Charlie Harraway,1970,0,0,577,5,24,1,0
Walt Garrison,1970,0,0,507,3,21,2,0
Len Dawson,1970,1876,13,46,0,0,5,0
Cyril Pinder,1970,0,0,657,2,28,5,0
Lee Bouggess,1970,0,0,401,2,50,6,0
Clint Jones,1970,0,0,369,9,9,5,0
Tucker Frederickson,1970,0,0,375,1,40,8,0
O.J. Simpson,1970,0,0,488,5,10,6,0
Mike Richardson,1970,0,0,368,2,34,2,0
Calvin Hill,1970,12,0,577,4,13,4,0
Wendell Hayes,1970,0,0,381,5,26,3,0
George Nock,1970,0,0,402,5,18,4,0
Willie Ellison,1970,0,0,381,5,10,4,0
Gary Cuozzo,1970,1720,7,61,0,0,3,0
Doug Cunningham,1970,0,0,443,3,35,4,0
Bart Starr,1970,1645,8,62,1,0,6,0
Al Woodall,1970,1265,9,110,0,0,2,0
Bobby Anderson,1970,59,0,368,4,9,1,0
Cannonball Butler,1970,0,0,636,0,24,10,0
Carl Garrett,1970,0,0,272,4,26,1,0
Harmon Wages,1970,13,0,422,1,26,4,0
Bill Munson,1970,1049,10,33,0,0,1,0
Joe Dawkins,1970,0,0,517,2,15,4,0
Essex Johnson,1970,0,0,273,2,15,1,0
Norm Bulaich,1970,0,0,426,3,11,6,0
Charley Johnson,1970,1652,7,3,0,0,3,0
Pete Liske,1970,1340,7,42,1,0,3,0
John Henderson,1970,0,0,0,0,31,0,0
Willis Crenshaw,1970,0,0,200,5,18,3,0
Preston Pearson,1970,0,0,503,2,6,6,0
George Farmer,1970,0,0,0,0,31,0,0
Fair Hooker,1970,0,0,0,0,28,0,0
John Mackey,1970,0,0,0,0,28,1,0
Cid Edwards,1970,0,0,350,1,19,2,0
Charlie Joiner,1970,0,0,0,0,28,0,0
Chip Myers,1970,0,0,0,0,32,0,0
Billy Truax,1970,0,0,0,0,36,0,0
Terry Bradshaw,1970,1410,6,233,1,0,3,0
Bob Trumpy,1970,0,0,0,0,29,1,0
Gary Collins,1970,0,0,0,0,26,1,0
John Hilton,1970,0,0,0,0,25,1,0
Robert Holmes,1970,0,0,206,3,23,4,0
Earl Morrall,1970,792,9,6,0,0,2,0
Jeff Queen,1970,0,0,261,1,20,4,0
Larry Smith,1970,0,0,338,1,24,4,0
Rich Caster,1970,0,0,0,0,19,0,0
Al Dodd,1970,0,0,31,0,28,1,0
Dave Parks,1970,0,0,0,0,26,0,0
Dave Smith,1970,0,0,42,0,4,0,0
Bill Brown,1970,0,0,324,0,15,3,0
Mercury Morris,1970,0,0,409,0,12,6,0
Bake Turner,1970,0,0,0,0,28,0,0
Edd Hargett,1970,1133,5,7,0,0,2,0
Roy Hopkins,1970,0,0,207,3,14,0,0
Paul Gipson,1970,0,0,177,0,16,2,0
Billy Kilmer,1970,1557,6,42,0,0,4,0
Jerry Rhome,1970,1031,5,54,1,0,5,0
Travis Williams,1970,0,0,276,1,12,0,0
Chip Glass,1970,0,0,0,0,19,2,0
Tom Mitchell,1970,0,0,0,0,20,0,0
Dennis Hughes,1970,0,0,-8,0,24,1,0
Billy Van Heusen,1970,0,0,0,0,16,1,0
Bob Windsor,1970,0,0,0,0,31,0,0
Bill Enyart,1970,0,0,196,0,35,2,0
Jimmy Thomas,1970,0,0,89,0,12,2,0
Walter Roberts,1970,0,0,15,0,27,3,0
Tom Barrington,1970,0,0,228,2,22,3,0
Joe Namath,1970,1259,5,-1,0,0,1,0
Sam Wyche,1970,411,3,118,2,0,3,0
Tony Baker,1970,0,0,337,1,12,1,0
Pete Lammons,1970,0,0,0,0,25,1,0
Todd Snyder,1970,0,0,0,0,23,0,0
Mike Garrett,1970,0,0,208,1,14,4,0
Wayne Patrick,1970,0,0,259,1,16,4,0
Don Herrmann,1970,0,0,0,0,24,0,0
Don Shy,1970,0,0,227,1,10,3,0
Dick Witcher,1970,0,0,0,0,22,0,0
Bob Lee,1970,610,5,20,1,0,2,0
Pat Studstill,1970,0,0,23,0,18,0,0
Dickie Post,1970,0,0,225,1,13,1,0
Jim Seymour,1970,0,0,0,0,6,0,0
Frank Pitts,1970,0,0,84,0,11,0,0
Russ Smith,1970,0,0,163,3,5,1,0
Tom Woodeshick,1970,0,0,254,2,6,2,0
Jack Maitland,1970,0,0,209,1,9,3,0
Tom Nowatzke,1970,0,0,248,1,16,3,0
Speedy Thomas,1970,0,0,7,0,21,1,0
Lee White,1970,0,0,215,0,12,3,0
John Beasley,1970,0,0,0,0,17,0,0
Jack Clancy,1970,0,0,0,0,16,0,0
Eric Crabtree,1970,0,0,23,0,19,1,0
Terry Hanratty,1970,842,5,-5,0,0,1,0
Jon Henderson,1970,0,0,0,0,13,0,0
Jim Grabowski,1970,0,0,210,1,19,0,0
Matt Snell,1970,0,0,281,1,2,2,0
Eddie Bell,1970,0,0,-7,0,21,0,0
Hoyle Granger,1970,0,0,169,1,11,2,0
Sam Havrilak,1970,82,0,159,0,14,0,0
Reece Morrison,1970,0,0,175,0,5,0,0
Sonny Campbell,1970,0,0,116,2,7,1,0
Greg Jones,1970,0,0,113,1,8,0,0
Roger Staubach,1970,542,2,221,0,0,4,0
Bill Tucker,1970,0,0,137,1,17,6,0
Jerry Hill,1970,0,0,115,2,8,0,0
Tommy Mason,1970,0,0,123,0,12,1,0
Ross Montgomery,1970,0,0,229,0,14,0,0
Jim Otis,1970,0,0,211,0,20,4,0
Lloyd Pate,1970,0,0,162,1,19,3,0
Gloster Richardson,1970,0,0,4,0,5,0,0
Ken Burrough,1970,0,0,4,0,13,3,0
Marv Hubbard,1970,0,0,246,1,0,2,0
Dan Reeves,1970,14,0,84,2,12,4,0
Bob Grim,1970,0,0,0,0,23,1,0
Brad Hubbert,1970,0,0,175,1,7,0,0
Joe Kapp,1970,1104,3,71,0,0,1,0
Rod Sherman,1970,0,0,2,0,18,1,0
Ted Kwalick,1970,0,0,65,0,10,0,0
Warren McVea,1970,0,0,260,0,5,2,0
Warren Bankston,1970,0,0,122,2,7,1,0
Willie Grate,1970,0,0,0,0,7,1,0
John Isenbarger,1970,0,0,43,0,8,0,0
Ray Perkins,1970,0,0,6,0,10,0,0
Reggie Rucker,1970,0,0,0,0,9,0,0
Roy Shivers,1970,0,0,98,2,3,0,0
Billy Cannon,1970,0,0,6,0,7,0,0
Mike Haffner,1970,0,0,1,0,12,1,0
Homer Jones,1970,0,0,0,0,10,1,0
Mike Taliaferro,1970,871,4,11,0,0,5,0
Bill Triplett,1970,0,0,156,1,6,2,0
Clem Turner,1970,0,0,106,2,8,0,0
Steve Owens,1970,0,0,122,2,4,2,0
Mike Phipps,1970,529,1,94,0,0,1,0
Ray Poage,1970,0,0,13,0,15,0,0
Art Malone,1970,0,0,136,0,9,0,0
Oscar Reed,1970,0,0,132,1,6,2,0
Wendell Tucker,1970,0,0,0,0,12,0,0
Marty Domres,1970,491,2,39,0,0,2,0
Marv Fleming,1970,0,0,0,0,18,0,0
Rick Arrington,1970,328,1,33,1,0,0,0
Austin Denney,1970,0,0,0,0,14,0,0
Bobby Douglass,1970,218,4,22,0,0,1,0
Bobby Duhon,1970,28,0,111,0,4,4,0
Fran Lynch,1970,0,0,81,1,7,1,0
Billy Masters,1970,0,0,0,0,9,0,0
Pete Banaszak,1970,0,0,75,2,1,1,0
Odell Lawson,1970,0,0,99,0,11,2,0
John Stofa,1970,240,3,5,0,0,0,0
Steve Tensi,1970,539,3,14,0,0,1,0
Steve Zabel,1970,0,0,0,0,8,0,0
Fred Arbanas,1970,0,0,0,0,8,0,0
Gene Foster,1970,9,0,84,0,10,1,0
Dave Hampton,1970,0,0,115,0,7,3,0
Stan Mitchell,1970,0,0,23,0,6,0,0
Alan Pastrana,1970,420,1,89,1,0,1,0
Gail Cogdill,1970,0,0,0,0,7,0,0
Bruce Coslet,1970,0,0,0,0,8,0,0
Chuck Hughes,1970,0,0,0,0,8,0,0
Don McCall,1970,0,0,63,1,5,1,0
Rich McGeorge,1970,0,0,3,0,2,0,0
Jon Staggers,1970,0,0,0,0,6,2,0
Bob Wallace,1970,0,0,0,0,15,0,0
Barry Brown,1970,0,0,0,0,15,0,0
Hubie Bryant,1970,0,0,25,0,8,3,0
James Harris,1970,338,3,-8,0,0,2,0
Joe Morrison,1970,0,0,25,0,11,1,0
Morris Stroud,1970,0,0,0,0,4,0,0
Aaron Thomas,1970,0,0,0,0,6,0,0
Larry Watkins,1970,0,0,96,1,3,1,0
Tom Beer,1970,0,0,0,0,11,1,0
Mike Hull,1970,0,0,99,0,13,1,0
Willie Richardson,1970,0,0,0,0,7,0,0
Preston Riley,1970,0,0,0,0,7,1,0
Dick Davis,1970,0,0,94,0,4,0,0
Henry Dyer,1970,0,0,102,0,4,2,0
Randy Johnson,1970,443,2,21,0,0,0,0
Chuck Mercein,1970,0,0,44,0,3,1,0
Craig Baynham,1970,0,0,68,0,12,0,0
Nick Eddy,1970,0,0,47,1,4,2,0
Pete Beathard,1970,114,2,2,0,0,1,0
Rich Coady,1970,0,0,0,0,6,0,0
Mike Ditka,1970,0,0,0,0,8,0,0
Mike Donohoe,1970,0,0,0,0,2,0,0
Dennis Homan,1970,0,0,-3,0,7,0,0
Gayle Knief,1970,0,0,0,0,3,0,0
Bob Long,1970,0,0,0,0,3,0,0
Randy Minniear,1970,0,0,39,1,1,0,0
Sid Blanks,1970,0,0,44,0,5,0,0
Charley Frazier,1970,0,0,0,0,9,0,0
Pettis Norman,1970,0,0,16,0,6,0,0
Larry Todd,1970,0,0,39,0,5,0,0
J.R. Wilburn,1970,0,0,25,0,6,1,0
Pat Curran,1970,0,0,92,0,3,2,0
Larry Krause,1970,0,0,13,0,2,2,0
John Spilis,1970,0,0,0,0,6,0,0
Bob Brunet,1970,0,0,37,0,3,0,0
Dave Kopay,1970,0,0,49,0,7,0,0
Rick Norton,1970,64,1,0,0,0,0,0
Ray Ogden,1970,0,0,0,0,1,0,0
Karl Sweetan,1970,81,1,0,0,0,0,0
Claxton Welch,1970,0,0,13,1,0,0,0
Doug Dressler,1970,0,0,77,0,0,2,0
Rich Houston,1970,0,0,0,0,4,1,0
Harry Jones,1970,0,0,44,0,1,0,0
Glenn Alexander,1970,0,0,0,0,4,0,0
Drew Buie,1970,0,0,0,0,2,0,0
John Embree,1970,0,0,0,0,4,0,0
Mike Livingston,1970,122,0,26,0,0,0,0
Jim Mandich,1970,0,0,0,0,1,1,0
Lew Porter,1970,0,0,21,0,1,0,0
