Player,LR Predicted Score,RF Predicted Score,XGB Predicted Score,NN Predicted Score,Bayesian Predicted Score
'Omar Ellison,-0.66,0.03,-0.01,0.46,-0.66
A.B. Brown,0.02,0.04,0.08,0.41,0.01
A.J. Brown,14.76,35.1,40.3,16.04,14.75
A.J. Derby,0.4,0.18,0.05,1.17,0.4
A.J. Feeley,0.34,0.55,0.61,1.26,0.35
A.J. Green,24.61,29.73,29.6,28.59,24.61
A.J. Jenkins,-0.38,0.04,-0.0,0.69,-0.38
A.J. Jones,-0.83,0.02,0.0,0.36,-0.84
A.J. McCarron,-0.54,0.03,0.09,0.56,-0.52
A.J. Ofodile,-0.71,0.02,0.0,0.43,-0.72
A.T. Perry,-0.13,0.06,-0.04,0.43,-0.14
AJ Barner,0.14,0.07,-0.04,0.74,0.14
AJ Dillon,8.94,4.11,1.79,6.86,8.94
Aaron Bailey,1.71,2.24,3.59,2.2,1.71
Aaron Brooks,8.73,18.65,3.37,9.36,8.81
Aaron Brown,-0.25,0.05,0.08,0.53,-0.25
Aaron Burbridge,-0.62,0.03,-0.01,0.49,-0.62
Aaron Cox,0.9,0.94,1.3,1.89,0.9
Aaron Craver,7.98,1.27,-0.75,4.24,7.98
Aaron Dobson,0.97,0.59,0.24,1.68,0.96
Aaron Fuller,-0.83,0.02,0.0,0.36,-0.84
Aaron Green,-0.83,0.02,0.0,0.36,-0.84
Aaron Halterman,-0.79,0.02,0.0,0.38,-0.8
Aaron Hayden,1.39,0.13,-0.14,0.75,1.39
Aaron Hernandez,4.82,3.41,5.7,4.07,4.82
Aaron Jones,32.2,43.54,44.0,37.7,32.2
Aaron Laing,-0.24,0.03,-0.04,0.71,-0.24
Aaron Moorehead,0.13,0.24,0.2,1.13,0.13
Aaron Parker,-0.83,0.02,0.0,0.36,-0.84
Aaron Pierce,2.5,3.89,2.31,2.83,2.5
Aaron Ripkowski,0.52,0.04,0.03,0.71,0.51
Aaron Rodgers,60.92,39.76,40.59,48.42,59.51
Aaron Shampklin,-0.83,0.03,0.05,0.36,-0.83
Aaron Shea,2.22,0.95,0.81,2.71,2.21
Aaron Stecker,6.61,1.04,0.53,3.62,6.62
Aaron Thomas,-0.75,0.02,0.0,0.4,-0.76
Aaron Walker,-0.21,0.03,-0.04,0.74,-0.22
Ace Sanders,0.83,0.47,0.51,1.66,0.81
Adam Bergen,0.31,0.2,0.14,1.21,0.31
Adam Humphries,6.91,5.26,2.12,7.21,6.92
Adam Jennings,-0.6,0.02,0.05,0.39,-0.6
Adam Prentice,-0.65,0.06,0.04,0.45,-0.65
Adam Shaheen,0.94,0.22,0.49,1.24,0.93
Adam Thielen,20.36,19.6,18.48,23.63,20.35
Adam Trautman,2.09,0.63,-0.03,2.28,2.08
Adam Walker,0.45,0.04,-0.18,0.81,0.44
Adger Armstrong,1.58,0.37,0.41,1.37,1.58
Adimchinobe Echemandu,-0.71,0.03,0.05,0.37,-0.71
Adonai Mitchell,-0.12,0.39,-0.04,1.02,-0.12
Adrian Arrington,-0.67,0.03,-0.01,0.45,-0.67
Adrian Breen,-0.44,0.03,0.85,0.34,-0.46
Adrian Cooper,1.39,0.86,0.44,2.31,1.39
Adrian Killins,-0.83,0.1,0.04,0.37,-0.83
Adrian Madise,-0.79,0.03,0.28,0.38,-0.79
Adrian McBride,-0.83,0.02,0.0,0.36,-0.84
Adrian Murrell,16.29,15.6,16.32,17.09,16.31
Adrian Peterson,49.08,46.93,28.5,59.35,49.08
Adrian Wright,-0.5,0.05,0.81,0.38,-0.5
Ahmad Bradshaw,21.73,17.29,14.58,22.39,21.74
Ahmad Merritt,-0.26,0.19,-0.0,0.82,-0.26
Ahmad Rashad,7.47,7.89,9.08,7.82,7.48
Ahman Green,38.04,52.99,52.83,45.98,38.05
Ahmard Hall,0.81,0.74,0.38,1.68,0.81
Aidan O'Connell,-0.27,0.25,-0.21,1.11,-0.22
Ainias Smith,-0.6,0.03,-0.02,0.38,-0.6
Airese Currie,-0.83,0.02,0.0,0.36,-0.84
Akeem Hunt,-0.46,0.06,0.01,0.47,-0.46
Akili Smith,-2.33,0.03,0.02,0.4,-2.21
Al Barnes,-0.62,0.02,-0.03,0.37,-0.63
Al Chandler,-0.35,0.03,-0.01,0.72,-0.36
Al Darby,-0.83,0.02,0.0,0.36,-0.84
Al Denson,-0.05,0.36,0.31,1.06,-0.05
Al Dixon,0.55,0.47,0.67,1.48,0.54
Al Dodd,0.77,0.32,0.57,1.27,0.76
Al Edwards,-0.24,0.06,-0.09,0.54,-0.25
Al Haywood,-0.83,0.02,0.0,0.36,-0.84
Al Hunter,2.38,0.11,-0.19,0.69,2.37
Al Johnson,-0.52,0.04,0.25,0.33,-0.53
Al Marshall,-0.82,0.02,0.0,0.37,-0.83
Al Toon,7.38,20.88,21.35,8.66,7.4
Al Williams,-0.55,0.05,0.17,0.41,-0.56
Al Wolden,-0.82,0.04,0.01,0.37,-0.82
Al Woodall,0.49,0.19,-0.09,0.53,0.49
Al Young,-0.75,0.02,0.0,0.4,-0.76
Alan Cross,-0.43,0.03,-0.04,0.51,-0.44
Alan Pastrana,-0.63,0.03,-0.08,0.38,-0.61
Alan Reid,-0.83,0.02,0.0,0.36,-0.84
Alan Ricard,0.75,0.35,0.15,1.07,0.75
Alan Risher,0.06,0.06,-0.1,0.3,0.06
Albert Bell,-0.83,0.02,0.0,0.36,-0.84
Albert Bentley,13.07,10.18,7.56,8.55,13.07
Albert Connell,5.42,2.61,1.17,5.11,5.42
Albert Johnson,-0.83,0.02,0.0,0.36,-0.84
Albert Okwuegbunam,0.64,0.19,0.26,1.3,0.63
Albert Wilson,5.8,4.18,0.84,5.29,5.79
Albert Young,-0.78,0.03,0.03,0.34,-0.78
Aldrick Robinson,3.24,1.46,2.63,2.91,3.23
Alec Ingold,1.71,0.52,0.6,1.53,1.7
Alec Pierce,3.33,1.03,0.59,3.44,3.33
Alex Armah,0.85,0.04,0.01,0.81,0.84
Alex Bachman,-0.79,0.02,0.09,0.38,-0.8
Alex Bannister,-0.39,0.03,-0.04,0.54,-0.4
Alex Bayer,-0.83,0.02,0.0,0.36,-0.84
Alex Collins,9.13,5.31,3.95,6.58,9.13
Alex Ellis,-0.78,0.02,0.0,0.39,-0.78
Alex Erickson,1.87,4.6,2.75,2.95,1.87
Alex Espinoza,-0.94,0.02,-0.01,0.36,-0.94
Alex Green,-0.19,0.06,0.16,0.55,-0.19
Alex Haynes,-0.79,0.02,0.01,0.38,-0.8
Alex Higdon,-0.79,0.02,0.0,0.38,-0.8
Alex Holmes,-0.82,0.02,0.0,0.37,-0.83
Alex Johnson,-0.83,0.02,0.0,0.36,-0.84
Alex Smith,2.0,2.97,1.52,4.49,2.32
Alex Tanney,-0.71,0.02,-0.03,0.38,-0.72
Alex Van Dyke,0.34,0.17,0.1,1.11,0.34
Alex Van Pelt,-0.52,0.07,0.08,0.85,-0.48
Alexander Hollins,-0.78,0.02,0.0,0.39,-0.78
Alexander Mattison,10.11,5.61,4.24,7.6,10.11
Alexander Wright,2.71,1.86,0.71,2.68,2.71
Alfonso Smith,0.46,0.04,0.01,0.8,0.46
Alfred Anderson,13.97,7.7,1.67,9.51,13.93
Alfred Blue,5.05,1.52,0.62,3.48,5.06
Alfred Jackson,2.08,5.58,6.01,3.09,2.08
Alfred Jenkins,4.91,16.82,21.82,5.79,4.92
Alfred Morris,18.54,24.79,22.01,22.38,18.55
Alfred Pupunu,1.6,2.12,0.62,2.54,1.6
Alfred Sykes,-0.82,0.02,0.0,0.37,-0.83
Alfredo Roberts,-0.12,0.31,0.31,0.98,-0.12
Alge Crumpler,12.29,10.19,13.61,12.16,12.28
Allama Matthews,-0.68,0.08,0.01,0.45,-0.69
Allan Clark,0.69,0.03,-0.16,0.61,0.68
Allen Bradford,-0.83,0.03,0.84,0.36,-0.83
Allen Carter,-0.54,0.04,-0.05,0.25,-0.55
Allen DeGraffenreid,-0.83,0.02,0.0,0.36,-0.84
Allen Harvin,-0.83,0.02,0.0,0.36,-0.84
Allen Hurns,7.73,5.42,3.46,6.72,7.72
Allen Lazard,7.32,4.06,2.46,6.33,7.31
Allen Pinkett,11.92,9.85,8.73,8.62,11.91
Allen Reisner,-0.67,0.03,-0.01,0.45,-0.67
Allen Rice,7.98,1.19,0.64,2.94,7.97
Allen Robinson,17.21,10.85,12.83,16.86,17.22
Allen Williams,-0.83,0.02,0.0,0.36,-0.84
Alois Blackwell,-0.82,0.03,0.05,0.35,-0.83
Alonzo Coleman,-0.83,0.02,0.0,0.36,-0.84
Alonzo Harris,-0.81,0.04,0.05,0.36,-0.82
Alonzo Highsmith,5.13,1.62,0.12,1.05,5.11
Alonzo Johnson,-0.81,0.02,0.0,0.38,-0.81
Alonzo Mayes,0.1,0.19,0.06,1.1,0.1
Alonzo Russell,-0.83,0.02,0.0,0.36,-0.84
Alonzo Williams,-0.83,0.06,0.28,0.36,-0.84
Alshon Jeffery,16.26,19.8,19.23,16.44,16.26
Altie Taylor,16.86,9.74,7.28,15.98,16.85
Alton Alexis,-0.83,0.02,0.0,0.36,-0.84
Alvin Blount,0.67,0.03,-0.04,0.6,0.66
Alvin Garrett,0.3,0.17,-0.55,0.6,0.29
Alvin Harper,7.06,5.5,3.14,6.52,7.07
Alvin Hooks,-0.83,0.02,0.0,0.36,-0.84
Alvin Kamara,41.22,57.38,43.28,46.83,41.22
Alvin Maxson,5.21,1.05,0.9,1.55,5.21
Alvin Mitchell,-0.82,0.02,0.0,0.37,-0.83
Alvin Moore,4.23,0.26,0.95,1.2,4.22
Alvin Pearman,0.82,0.05,0.01,0.95,0.82
Alvin Reed,1.08,0.69,0.65,1.81,1.07
Alvin Ross,-0.3,0.03,0.11,0.47,-0.31
Alvis Whitted,2.38,1.82,1.28,2.89,2.38
Amani Toomer,22.82,20.42,15.54,23.36,22.83
Amara Darboh,-0.66,0.03,-0.01,0.46,-0.66
Amari Cooper,22.45,23.72,18.35,25.62,22.45
Amari Rodgers,-0.23,0.06,0.01,0.69,-0.24
Ameer Abdullah,8.41,2.01,2.15,4.1,8.42
Amod Field,-0.83,0.02,0.0,0.36,-0.84
Amon-Ra St. Brown,11.55,18.71,38.27,9.79,11.53
Amos Fowler,-0.83,0.02,0.0,0.36,-0.84
Amos Lawrence,0.15,0.07,-0.02,0.3,0.15
Amos Zereoue,6.87,1.94,5.05,4.45,6.88
Amp Lee,10.74,2.65,-1.31,6.1,10.75
Andra Franklin,11.46,10.22,13.51,7.96,11.44
Andrae Thurman,-0.62,0.03,-0.01,0.49,-0.62
Andre Baccellia,-0.7,0.02,0.0,0.44,-0.7
Andre Brown,5.5,0.69,0.63,2.46,5.49
Andre Caldwell,4.22,2.41,1.81,4.34,4.22
Andre Coleman,0.77,0.34,0.19,1.59,0.77
Andre Cooper,-0.6,0.03,-0.01,0.5,-0.61
Andre Ellington,7.68,1.82,2.43,4.27,7.69
Andre Hall,0.26,0.03,0.02,0.51,0.26
Andre Hardy,-0.6,0.03,-0.05,0.32,-0.61
